"공원별",2020,2021,2022
"총계",35277568,35901970,38793952
"지리산",2669076,2864374,3782921
"경주",1836948,2389314,2796288
"계룡산",2239068,2149164,2317672
"한려해상",3700609,3252991,3842065
"오동도",1697282,1346812,1319931
"설악산",1947361,1918390,2067328
"속리산",986092,987504,1107659
"한라산",699117,652706,850744
"내장산",1518415,1525174,1625029
"가야산",505459,495099,552659
"덕유산",991175,1036941,1193438
"오대산",1178420,1115400,1135324
"주왕산",600672,566556,601047
"태안해안",711332,660113,647849
"다도해해상",1862664,1883904,2159157
"치악산",870934,826134,887193
"월악산",827593,841135,795825
"북한산",6561211,7362704,6700861
"소백산",972423,953829,954145
"월출산",328155,316813,601637
"변산반도",1263499,1278476,1393251
"무등산",2452942,2399255,2438693
"태백산",554403,425994,343167
