"TRK_IDNO","TRK_NM","TRK_SNNM","TRK_LNGTH","TRK_CTPRV_NM","TRK_EMNDN_NM","TRK_LTNO","TRK_ARA_NM","TRK_RQRMN_TM","TRK_RST_TM","TRK_SPRT_ITE_IDNO","TRK_BGN_LCTN_LNGTD","TRK_BGN_LCTN_LTTD","TRK_END_LCTN_LNGTD","TRK_END_LCTN_LTTD","TRK_AVRG_GRDNT","TRK_TOP_HASLV","TRK_LOWST_HASLV","TRK_UPR_LNGTH","TRK_FTL_LNGTH","TRK_DST_LNGTH","TRK_DGDFF_VAL","DATA_STCD","DATA_RGSTN_DTM","DATA_UPDT_DTM","DATA_CONNO","OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"20193338814","구기계곡~우이신설도시철도 차량기지_코스","구기계곡~우이신설도시철도 차량기지_코스","9371.00","경상북도","구미시 선주원남동","","tbcmanager","40001","0","1","128.315412","36.113503","128.315381","36.113460","11.25","681.00","36.00","3.00","1.87","4.50","0","ACCEPT","2019-09-25 14:15:54","2019-12-23 13:22:53","45031","I","20190925141554000","20191223012215","20191223012253","S","trk_tx_191223132215004002"
"20193629208","얼음골~낙가산_코스","얼음골~낙가산_코스","4898.00","광주광역시","북구 두암1동","","tbcmanager","20703","0","1","126.931100","35.169358","126.930615","35.168508","12.49","464.00","176.00","1.60","1.80","0.90","0","ACCEPT","2019-09-26 17:40:16","2019-12-23 14:23:53","156284","I","20190926174016000","20191223022215","20191223022353","S","trk_tx_191223142215002000"
"20193763204","동신과학고등학교~녹사래골_코스","동신과학고등학교~녹사래골_코스","1905.00","대구광역시","달서구 진천동","","tbcmanager","4904","0","1","128.508093","35.813683","128.507560","35.813851","3.32","159.00","116.00","0.30","1.40","0.20","0","ACCEPT","2019-09-27 03:13:55","2019-12-23 15:23:39","197627","I","20190927031355000","20191223032215","20191223032339","S","trk_tx_191223152215003001"
"20193787827","제주키아로라리조트~고성리신양공동묘지_코스","제주키아로라리조트~고성리신양공동묘지_코스","1094.00","강원도","태백시 철암동","","tbcmanager","2750","0","1","129.060288","37.123422","129.045884","37.126505","4.57","117.00","37.00","0.50","0.59","0.00","0","ACCEPT","2019-09-27 04:34:15","2019-12-23 15:23:39","207034","I","20190927043415000","20191223032215","20191223032339","S","trk_tx_191223152215003001"
"20193828195","효자봉~봉곡유치원_코스","효자봉~봉곡유치원_코스","7243.00","경기도","성남시 분당구 수내2동","","tbcmanager","30522","0","1","127.121608","37.376026","127.121612","37.376071","7.47","511.00","72.00","0.90","3.24","3.10","0","ACCEPT","2019-09-27 11:53:41","2019-12-23 15:23:39","235248","I","20190927115341000","20191223032215","20191223032339","S","trk_tx_191223152215003001"
"20193945159","신천지하이츠아파트~대구수성소방서_코스","신천지하이츠아파트~대구수성소방서_코스","1907.00","부산광역시","금정구 금성동","","tbcmanager","4826","0","1","129.052712","35.260807","129.051272","35.255680","5.95","181.00","39.00","0.40","1.00","0.50","0","ACCEPT","2019-09-28 05:15:42","2019-12-23 15:23:39","311612","I","20190928051542000","20191223032215","20191223032339","S","trk_tx_191223152215003001"
"20193942358","광대봉~부황리 보길저수지_코스","광대봉~부황리 보길저수지_코스","6389.00","서울특별시","종로구 사직동","","tbcmanager","24532","0","1","126.970721","37.572566","126.970198","37.572388","8.34","411.00","58.00","1.10","2.49","2.20","0","ACCEPT","2019-09-28 05:24:15","2019-12-23 15:23:39","312487","I","20190928052415000","20191223032215","20191223032339","S","trk_tx_191223152215003001"
"20191029","함백산_20190101_060532","함백산_20190101_060532","2029.00","강원도","태백시 문곡소도동","","","10437","5744","1","128.916031","37.154854","128.915985","37.154831","14.75","1601.00","1341.00","0.90","0.20","0.90","0","ACCEPT","2019-09-30 14:43:27","2019-12-17 17:22:27","393946","I","20190930144327000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192040","황령산_20190101_055919","황령산_20190101_055919","2387.00","부산광역시","부산진구 전포1동","","","10744","1125","1","129.068390","35.156681","129.081955","35.157204","10.73","459.00","62.00","1.99","0.40","0.00","0","ACCEPT","2019-09-30 14:43:27","2019-12-17 17:22:27","393947","I","20190930144327000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196089","부산광역시강서구_20181231_212556","부산광역시강서구_20181231_212556","980.00","부산광역시","강서구 명지2동","","","63353","0","1","128.906555","35.083603","128.908127","35.083958","27.22","448.00","39.00","0.10","0.60","0.20","0","ACCEPT","2019-09-30 14:43:30","2019-12-17 17:22:27","393954","I","20190930144330000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20195078","경상남도거창군_20190101_054457","경상남도거창군_20190101_054457","6508.00","경상남도","거창군 북상면","","","22914","22934","1","127.712936","35.779839","127.679420","35.745167","10.16","1493.00","679.00","2.20","1.88","1.60","0","ACCEPT","2019-09-30 14:43:29","2019-12-17 17:22:27","393952","I","20190930144329000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20193050","함지산_20190101_063742","함지산_20190101_063742","5518.00","대구광역시","북구 동천동","","","21437","2116","1","128.555908","35.933178","128.555954","35.933136","5.64","293.00","78.00","0.82","3.50","1.20","0","ACCEPT","2019-09-30 14:43:27","2019-12-17 17:22:27","393948","I","20190930144327000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192041","경상북도칠곡군_20190101_061017","경상북도칠곡군_20190101_061017","3609.00","경상북도","칠곡군 동명면","","","13138","10315","1","128.590759","36.021133","128.591415","36.018681","13.25","796.00","430.00","1.30","0.80","1.50","0","ACCEPT","2019-09-30 14:43:29","2019-12-17 17:22:27","393953","I","20190930144329000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192042","대전광역시대덕구 계족산 일출. _20190101_061205","대전광역시대덕구 계족산 일출. _20190101_061205","5524.00","대전광역시","대덕구 회덕동","","","13405","5934","1","127.438759","36.406551","127.438637","36.405766","7.58","431.00","109.00","1.40","2.52","1.60","0","ACCEPT","2019-09-30 14:43:31","2019-12-17 17:22:27","393959","I","20190930144331000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20194066","태백산장군봉-태백산_20190101_042550","태백산장군봉-태백산_20190101_042550","9216.00","강원도","태백시 문곡소도동","","","41751","4459","1","128.908096","37.120342","128.951416","37.119949","10.68","1640.00","835.00","3.30","1.70","4.20","0","ACCEPT","2019-09-30 14:43:28","2019-12-17 17:22:27","393950","I","20190930144328000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192043","대구광역시달성군_20190101_071751","대구광역시달성군_20190101_071751","3830.00","대구광역시","달성군 다사읍","","","11134","1601","1","128.459366","35.857101","128.460159","35.857498","6.88","191.00","34.00","0.72","1.60","1.50","0","ACCEPT","2019-09-30 14:43:33","2019-12-17 17:22:27","393963","I","20190930144333000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191032","강원도평창군_20190101_064148","강원도평창군_20190101_064148","3883.00","강원도","평창군 대관령면","","","11200","1424","1","128.758896","37.686485","128.758896","37.686489","4.79","1022.00","857.00","1.00","2.00","0.88","0","ACCEPT","2019-09-30 14:43:32","2019-12-17 17:22:27","393960","I","20190930144332000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20194","사직공원_20181220_200149","사직공원_20181220_200149","1322.00","광주광역시","남구 사직동","","","2702","0","1","126.911552","35.141766","126.911270","35.143299","1.44","123.00","93.00","0.10","1.22","0.00","0","ACCEPT","2019-09-30 14:43:35","2019-12-17 17:22:27","393968","I","20190930144335000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20195","비슬산_20190101_000026","비슬산_20190101_000026","1.00","대구광역시","달성군 가창면","","","0","3","1","128.524078","35.715485","128.524078","35.715481","0.00","1112.00","1112.00","0.00","0.00","0.00","0","ACCEPT","2019-09-30 14:43:36","2019-12-17 17:22:27","393970","I","20190930144336000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196","대구광역시동구_20181231_185812","대구광역시동구_20181231_185812","8.00","대구광역시","동구 공산동","","","151","0","1","128.726120","35.970577","128.726181","35.970531","0.00","394.00","391.00","0.00","0.01","0.00","0","ACCEPT","2019-09-30 14:43:36","2019-12-17 17:22:27","393971","I","20190930144336000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20193051","성재산-계족산성산성봉_20190101_055727","성재산-계족산성산성봉_20190101_055727","8439.00","대전광역시","대덕구 법2동","","","24416","3137","1","127.432571","36.372074","127.432632","36.371975","5.62","456.00","96.00","1.60","4.94","1.90","0","ACCEPT","2019-09-30 14:43:31","2019-12-17 17:22:27","393958","I","20190930144331000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196092","경기도오산시_20190101_100718","경기도오산시_20190101_100718","5982.00","경기도","오산시 신장동","","","13759","841","1","127.070206","37.163036","127.062790","37.173031","3.82","179.00","43.00","0.80","4.20","1.10","0","ACCEPT","2019-09-30 14:43:33","2019-12-17 17:22:27","393962","I","20190930144333000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191034","달음산_20190101_063148","달음산_20190101_063148","473.00","부산광역시","기장군 정관읍","","","3941","0","1","129.199585","35.311871","129.210815","35.308060","13.92","601.00","276.00","1.19","0.30","0.00","0","ACCEPT","2019-09-30 14:43:36","2019-12-17 17:22:27","393969","I","20190930144336000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192044","대구광역시동구_20190101_063347","대구광역시동구_20190101_063347","4909.00","대구광역시","동구 불로.봉무동","","","13320","3833","1","128.650909","35.929016","128.648102","35.920246","6.94","354.00","72.00","1.00","2.40","1.50","0","ACCEPT","2019-09-30 14:43:34","2019-12-17 17:22:27","393966","I","20190930144334000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191035","개운산_20190101_065621","개운산_20190101_065621","2210.00","서울특별시","성북구 종암동","","","3834","3318","1","127.029381","37.602123","127.029289","37.602024","3.95","149.00","64.00","0.30","1.50","0.40","0","ACCEPT","2019-09-30 14:43:36","2019-12-17 17:22:27","393976","I","20190930144336000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20194067","금정산","금정산","7927.00","부산광역시","금정구 청룡노포동","","","32221","10149","1","129.073227","35.283237","129.073242","35.281944","8.19","836.00","289.00","2.60","3.50","1.83","0","ACCEPT","2019-09-30 14:43:34","2019-12-17 17:22:27","393964","I","20190930144334000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192045","관악산연주대-자운암국기대_20190101_061942","관악산연주대-자운암국기대_20190101_061942","3984.00","서울특별시","관악구 대학동","","","20449","2054","1","126.949783","37.447334","126.949203","37.448067","14.77","660.00","210.00","1.50","0.70","1.70","0","ACCEPT","2019-09-30 14:43:37","2019-12-17 17:22:27","393977","I","20190930144337000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20193052","계양산-계양공원_20190101_071334","계양산-계양공원_20190101_071334","6779.00","인천광역시","계양구 계산2동","","","15844","119","1","126.712837","37.545158","126.730804","37.531231","6.90","414.00","42.00","1.50","3.78","1.50","0","ACCEPT","2019-09-30 14:43:36","2019-12-17 17:22:27","393973","I","20190930144336000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191037","경기도부천시원미구_20190101_065221","경기도부천시원미구_20190101_065221","4220.00","경기도","부천시 부천동","","","11603","0","1","126.798233","37.505493","126.786270","37.497295","4.38","141.00","40.00","0.60","2.82","0.80","0","ACCEPT","2019-09-30 14:43:39","2019-12-17 17:22:27","393982","I","20190930144339000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196094","하동 금오산    청소년수련원 해맞이공원","하동 금오산    청소년수련원 해맞이공원","7252.00","경상남도","하동군 금남면","","","30552","1822","1","127.896713","34.982105","127.896843","34.982254","12.58","858.00","108.00","3.10","1.35","2.80","0","ACCEPT","2019-09-30 14:43:38","2019-12-17 17:22:27","393979","I","20190930144338000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20194068","할미산-석성산_20190101_064423","할미산-석성산_20190101_064423","6079.00","경기도","용인시 기흥구 동백동","","","22452","4034","1","127.166222","37.285748","127.151245","37.274673","9.46","495.00","152.00","1.70","2.58","1.80","0","ACCEPT","2019-09-30 14:43:39","2019-12-17 17:22:27","393981","I","20190930144339000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191038","충청남도아산시_20181231_075736","충청남도아산시_20181231_075736","5817.00","충청남도","아산시 온양2동","","","14038","48","1","126.996170","36.781342","126.996155","36.781376","5.33","200.00","61.00","1.20","3.00","1.62","0","ACCEPT","2019-09-30 14:43:41","2019-12-17 17:22:27","393986","I","20190930144341000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20193053","충남_계룡산_남매탑__일출산행_20190101_055520","충남_계룡산_남매탑__일출산행_20190101_055520","7552.00","충청남도","공주시 반포면","","","23603","4220","1","127.239075","36.358067","127.238808","36.358112","7.32","630.00","185.00","1.90","4.05","1.60","0","ACCEPT","2019-09-30 14:43:40","2019-12-17 17:22:27","393985","I","20190930144340000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20196095","검단산_20190101_090547","검단산_20190101_090547","6517.00","경기도","하남시 천현동","","","23529","1300","1","127.228218","37.531471","127.229584","37.532005","11.77","685.00","54.00","2.90","0.50","3.10","0","ACCEPT","2019-09-30 14:43:42","2019-12-17 17:22:27","393987","I","20190930144342000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20195080","충청북도보은군_20190101_033745","충청북도보은군_20190101_033745","15471.00","충청북도","보은군 속리산면","","","53653","12743","1","127.821030","36.533024","127.822624","36.531967","8.25","1055.00","357.00","3.78","8.53","3.17","0","ACCEPT","2019-09-30 14:43:37","2019-12-17 17:22:27","393978","I","20190930144337000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20192047","와룡_20190101_060052","와룡_20190101_060052","4967.00","서울특별시","종로구 혜화동","","","20411","4021","1","127.000732","37.589146","127.000648","37.589111","3.97","222.00","88.00","0.70","3.47","0.80","0","ACCEPT","2019-09-30 14:43:44","2019-12-17 17:22:27","393991","I","20190930144344000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20193055","월라산_20190101_070437","월라산_20190101_070437","2241.00","충청남도","아산시 송악면","","","10535","10328","1","127.000656","36.735897","127.000298","36.734997","9.91","277.00","76.00","0.80","0.54","0.90","0","ACCEPT","2019-09-30 14:43:46","2019-12-17 17:22:27","393993","I","20190930144346000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191040","전라남도목포시_20190101_071529","전라남도목포시_20190101_071529","2845.00","전라남도","목포시 목원동","","","5008","253","1","126.374802","34.792267","126.369904","34.800720","4.88","194.00","40.00","0.40","2.20","0.70","0","ACCEPT","2019-09-30 14:43:46","2019-12-17 17:22:27","393994","I","20190930144346000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20194070","태백산장군봉-태백산_20190101_050005","태백산장군봉-태백산_20190101_050005","8538.00","강원도","태백시 문곡소도동","","","40303","4623","1","128.908447","37.120209","128.949112","37.116890","10.48","1600.00","883.00","3.30","1.30","3.90","0","ACCEPT","2019-09-30 14:43:43","2019-12-17 17:22:27","393989","I","20190930144343000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20191041","함백산_20190101_055929","함백산_20190101_055929","2257.00","강원도","정선군 고한읍","","","11433","5429","1","128.914764","37.154541","128.913284","37.152267","14.62","1611.00","1367.00","0.80","0.76","0.70","0","ACCEPT","2019-09-30 14:43:48","2019-12-17 17:22:27","394000","I","20190930144348000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"201911","경기도용인시수지구_20181231_235826","경기도용인시수지구_20181231_235826","288.00","경기도","용인시 수지구 풍덕천1동","","","427","0","1","127.103180","37.327293","127.103378","37.322014","1.33","112.00","89.00","0.00","0.60","0.00","0","ACCEPT","2019-09-30 14:43:49","2019-12-17 17:22:27","394003","I","20190930144349000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
"20193056","아차산_새해_20190101_070909","아차산_새해_20190101_070909","3463.00","서울특별시","광진구 구의2동","","","14606","913","1","127.094879","37.555847","127.094315","37.554390","6.10","198.00","25.00","0.80","1.76","0.80","0","ACCEPT","2019-09-30 14:43:48","2019-12-17 17:22:27","393999","I","20190930144348000","20191217052200","20191217052227","S","trk_tx_191217172200002000"
