"통계분류(1)",통계분류(2),통계분류(3),2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"통계분류(1)",통계분류(2),통계분류(3),걷기(조깅 속보),등산,체조(맨손 체조 생활 체조),볼링,자전거사이클산악 자전거,축구 풋살,보디빌딩(헬스),수영,당구포켓볼,골프(그라운드 파크 포함)
"전체",소계,소계,48.8,23.5,11.2,11.2,11.1,11,10.6,10,9.3,9.3
"도시규모별",대도시,소계,46.4,21.1,9.2,11.8,9.8,8.6,11,11,10.9,9.1
"도시규모별",중소도시,소계,53.2,27.9,10.7,12,10.7,13.6,9.8,9.9,9.3,11.6
"도시규모별",읍 면 이하,소계,45.4,20.3,16.5,8.2,14.6,10.9,11.1,8,6.2,5.2
"성별",남성,소계,39.4,25.1,7.4,12.7,16,21.1,15,6.1,15,12.1
"성별",여성,소계,58.2,21.9,15,9.6,6.2,0.8,6.2,13.9,3.7,6.4
"연령별",10대,소계,29.4,6.1,8.6,9.7,22.3,31.9,3.9,11.4,7.8,1.1
"연령별",20대,소계,34.8,13.8,6.1,20.4,17.8,19.6,21.6,12.9,13,3.8
"연령별",30대,소계,41.2,21.1,7.2,18.7,10.7,13.6,17.8,13.2,13.9,10.9
"연령별",40대,소계,45.9,29.9,7.5,13.6,11,10.3,14.4,12.2,12.1,13.4
"연령별",50대,소계,53.2,34.4,10.9,9.9,7.8,6.3,8.1,10.2,8.5,15.9
"연령별",60대,소계,64.8,31.6,19,3.8,7.7,2,3.7,7,6.3,10.7
"연령별",70세이상,소계,66.7,16,19.8,0.6,4.2,0.5,1.5,2,1.8,2.6
"성별 연령별",남성,10대,18.6,5.8,4.5,11,29.2,58.4,5.3,7,10.7,1.5
"성별 연령별",남성,20대,22.6,10.6,2.7,21.4,23.3,35.2,29.5,9.4,17.3,3.9
"성별 연령별",남성,30대,34.1,21.5,4.6,20.6,14.5,25.8,24.3,7.4,21.3,12.6
"성별 연령별",남성,40대,35.3,30.1,3.4,16.3,15.1,19.8,18.8,8.4,20,18.4
"성별 연령별",남성,50대,42.8,37.8,7.1,9.8,12,11.8,10.9,4.9,16.2,19.2
"성별 연령별",남성,60대,58.6,36.8,14.9,4.9,12.5,3.9,6.2,2.7,10.1,15.4
"성별 연령별",남성,70세이상,64.9,22.1,17.2,0.3,8.2,1.2,2.9,1.4,2.5,4.9
"성별 연령별",여성,10대,41.1,6.3,13,8.4,14.9,3.6,2.4,16.2,4.7,0.7
"성별 연령별",여성,20대,48.4,17.4,10,19.2,11.5,2.1,12.6,16.9,8.1,3.7
"성별 연령별",여성,30대,49.2,20.5,10.1,16.5,6.4,0,10.5,19.6,5.7,8.9
"성별 연령별",여성,40대,56.9,29.7,11.7,10.7,6.8,0.3,9.9,16.3,3.9,8.2
"성별 연령별",여성,50대,63.7,31,14.8,9.9,3.7,0.7,5.3,15.7,0.8,12.5
"성별 연령별",여성,60대,70.8,26.6,22.8,2.8,3,0.2,1.3,11.1,2.7,6.2
"성별 연령별",여성,70세이상,67.9,11.7,21.6,0.8,1.3,0,0.5,2.4,1.4,1
"소득별",100만원미만,소계,67.8,5.4,27.3,0,1.3,0.9,0,0,0,0
"소득별",100-200만원 미만,소계,73.1,14.7,15.9,4,7.7,2.3,1.8,3.9,0.8,1
"소득별",200-300만원 미만,소계,60.9,20.6,17.2,6.1,10.3,6.6,6.5,6.3,5,1.9
"소득별",300-400만원 미만,소계,51,25.5,12.5,9.2,12.5,8.6,12.2,9.1,8.8,3.3
"소득별",400-500만원 미만,소계,42.8,23.9,11.3,9.8,12,13.3,8.9,8.9,8.5,7.8
"소득별",500-600만원 미만,소계,46.7,28,10.3,13,9.7,13.2,10.1,11.4,10.4,13
"소득별",600-700만원 미만,소계,46.3,22.9,6.6,13.8,10.3,14.5,13.3,11.5,11.1,13.3
"소득별",700-800만원 미만,소계,38.1,20.9,7.8,14.7,12.7,8.2,17.7,14.8,12.4,12.5
"소득별",800-900만원 미만,소계,40.1,19,8.2,15.5,14.4,10.8,15.4,12.4,14.8,18.3
"소득별",900만원 이상,소계,37.4,19.9,9.1,33.3,21.3,15.8,20.5,21.4,30.6,39.4
