"COURS_IDNO","COURS_DATA_SET_TPCD","COURS_NM","COURS_SNNM","COURS_DSCRT","COURS_CTPRV_NM","COURS_EMNDN_NM","COURS_LTNO","COURS_ARA_NM","COURS_WEBS_ADDR","COURS_TOT_LNGTH","COURS_AVRG_GRDNT","COURS_TOP_HASLV","COURS_LOWST_HASLV","COURS_UPR_LNGTH","COURS_FTL_LNGTH","COURS_DST_LNGTH","COURS_DGDFF_VAL","DATA_STCD","COURS_RQRMN_TM","DATA_RGSTN_DTM","DATA_UPDT_DTM","DATA_CONNO","OPERT_TPCD","OCCRR_DTM","CNTCT_BGN_DTM","CNTCT_PRCES_DTM","CNTCT_PRCES_STCD","TRNSA_ID"
"45041","UCHK","구기계곡~우이신설도시철도 차량기지_코스","구기계곡~우이신설도시철도 차량기지_코스","북한산국립공원 구기계곡~문수사~쉼터~쉼터~쉼터~용암사지석탑~북한대피소~용암문~백운대피소~족도리바위~북한산인수대피소~영봉~코끼리바위~우이동계곡~우이신설도시철도 차량기지","경상북도","구미시 선주원남동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3338814","9371.00","11.25","681.00","36.00","3.00","1.87","4.50","0","ACCEPT","0","2019-09-25 14:16:02","2019-12-17 18:00:37","45041","I","20190925141602000","20191217060000","20191217060037","S","trk_tx_191217180000003000"
"156287","UCHK","얼음골~낙가산_코스","얼음골~낙가산_코스","망산,구석산,귀석산,용정산,이티봉,천자봉,중봉,리틀봉,장노봉,선도산,국사봉,우암산,상당산,백화산,낙가산,것대산,피반령,성무봉,국수봉,관봉,인경산,선두산,백족산,대항산,구녀산,고부랑고개 (충청북도) 얼음골~것대산~낙가산","광주광역시","북구 두암1동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3629208","4898.00","12.49","464.00","176.00","1.60","1.80","0.90","0","ACCEPT","0","2019-09-26 17:40:19","2019-12-17 19:00:30","156287","I","20190926174019000","20191217070000","20191217070030","S","trk_tx_191217190000002001"
"197629","UCHK","동신과학고등학교~녹사래골_코스","동신과학고등학교~녹사래골_코스","질현산,매봉산,고봉산,꽃산,덤바위산,동광산,시루봉,신성봉,언애바위산,토끼봉,황태봉 (대전광역시) 동신과학고등학교~녹사래골","대구광역시","달서구 진천동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3763204","1905.00","3.32","159.00","116.00","0.30","1.40","0.20","0","ACCEPT","0","2019-09-27 03:14:01","2019-12-17 19:00:30","197629","I","20190927031401000","20191217070000","20191217070030","S","trk_tx_191217190000002001"
"207034","UCHK","제주키아로라리조트~고성리신양공동묘지_코스","제주키아로라리조트~고성리신양공동묘지_코스","대수산봉 (제주특별자치도) 제주키아로라리조트~고성리신양공동묘지","강원도","태백시 철암동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3787827","1094.00","4.57","117.00","37.00","0.50","0.59","0.00","0","ACCEPT","0","2019-09-27 04:34:16","2019-12-17 20:00:30","207034","I","20190927043416000","20191217080000","20191217080030","S","trk_tx_191217200000001002"
"235248","UCHK","효자봉~봉곡유치원_코스","효자봉~봉곡유치원_코스","성안전위봉,금오산,남봉,할딱봉,이오오봉,엄마봉,아홉산,굴등봉,황금봉,호령봉,감은산,적지봉,칼다봉,효자봉,금오산성,백운봉 (경상북도) 효자봉~엄마봉~남동고개전망대~전망대주차장~호령봉~감은산~봉곡유치원","경기도","성남시 분당구 수내2동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3828195","7243.00","7.47","511.00","72.00","0.90","3.24","3.10","0","ACCEPT","0","2019-09-27 11:53:45","2019-12-17 20:00:30","235248","I","20190927115345000","20191217080000","20191217080030","S","trk_tx_191217200000001002"
"311612","UCHK","신천지하이츠아파트~대구수성소방서_코스","신천지하이츠아파트~대구수성소방서_코스","두리봉,무학산,연호산 (대구광역시) 신천지하이츠아파트~무학산~수성소방서1 버스정류장~대구수성소방서","부산광역시","금정구 금성동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3945159","1907.00","5.95","181.00","39.00","0.40","1.00","0.50","0","ACCEPT","0","2019-09-28 05:15:45","2019-12-17 21:00:35","311612","I","20190928051545000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"312487","UCHK","광대봉~부황리 보길저수지_코스","광대봉~부황리 보길저수지_코스","망월봉,광대봉,격자봉,적자봉 (전라남도) 광대봉~격자봉~부황리 보길저수지","서울특별시","종로구 사직동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/3942358","6389.00","8.34","411.00","58.00","1.10","2.49","2.20","0","ACCEPT","0","2019-09-28 05:24:18","2019-12-17 21:00:35","312487","I","20190928052418000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398038","UCHK","함백산_20190101_060532","함백산_20190101_060532","새해 해맞이","강원도","태백시 문곡소도동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/1029","2029.00","14.75","1601.00","1341.00","0.90","0.20","0.90","0","ACCEPT","0","2019-09-30 14:43:29","2019-12-17 21:00:35","398038","I","20190930144329000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398039","UCHK","황령산_20190101_055919","황령산_20190101_055919","황령산_20190101_055919","부산광역시","부산진구 전포1동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/2040","2387.00","10.73","459.00","62.00","1.99","0.40","0.00","0","ACCEPT","0","2019-09-30 14:43:29","2019-12-17 21:00:35","398039","I","20190930144329000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
"398040","UCHK","부산광역시강서구_20181231_212556","부산광역시강서구_20181231_212556","부산광역시강서구_20181231_212556","부산광역시","강서구 명지2동","NA","기타","https://www.tranggle.com/profile_other/track_view/csh1648/CERT/ALL/2019/6089","980.00","27.22","448.00","39.00","0.10","0.60","0.20","0","ACCEPT","0","2019-09-30 14:43:31","2019-12-17 21:00:35","398040","I","20190930144331000","20191217090000","20191217090035","S","trk_tx_191217210000002003"
